Filename,Filter,Window Length,Prediction Frequencies,Proportion Predicted,Accuracy
Liviu6.66.easy,0,4.0 sec,"[6.66, 7.5, 10]","[0.47872340425531917, 0.35106382978723405, 0.1702127659574468]",0.4787234042553192
Liviu7.5.easy,0,4.0 sec,"[6.66, 7.5, 10]","[0.26595744680851063, 0.47872340425531917, 0.25531914893617019]",0.4787234042553192
Liviu10.easy,0,4.0 sec,"[6.66, 7.5, 10]","[0.25531914893617019, 0.35106382978723405, 0.39361702127659576]",0.39361702127659576
Liviu6.66.easy,1,4.0 sec,"[6.66, 7.5, 10]","[0.45744680851063829, 0.27659574468085107, 0.26595744680851063]",0.4574468085106383
Liviu7.5.easy,1,4.0 sec,"[6.66, 7.5, 10]","[0.28723404255319152, 0.45744680851063829, 0.25531914893617019]",0.4574468085106383
Liviu10.easy,1,4.0 sec,"[6.66, 7.5, 10]","[0.19148936170212766, 0.39361702127659576, 0.41489361702127658]",0.4148936170212766
